"x","y"
625380.232642848,4217466.57482784
626280.618382959,4222849.78662119
628823.163959802,4228389.60481846
627355.999513816,4197209.70129497
635351.042183082,4214718.12420008
623312.695985326,4202774.75395546
583884.571074172,4226186.95061024
632474.788012558,4194446.69095826
615226.422753927,4217656.78285449
617667.012948168,4209257.99627293
637088.786553165,4223161.54517518
582352.840405556,4223631.50102962
584048.340221772,4229871.31958165
580673.730728475,4213792.02797256
584395.04015829,4219354.10360728
589649.461198038,4213870.8229416
582589.07667909,4215195.22286747
648247.088209248,4201972.65821704
622108.02079769,4230808.31646687
623406.950359566,4237704.79245985
630524.669564515,4232472.19605709
624635.745030791,4210196.05504244
614331.571704005,4240319.18324094
627359.541482019,4219773.60455297
631099.844682922,4222171.32209552
617406.429920981,4219993.99444707
621944.104713764,4208467.16190461
601748.327158118,4211707.05903574
608111.182879058,4208855.21649523
614961.667683165,4212489.43733195
619155.486504803,4216562.52734745
625325.890163126,4215926.58940558
631369.574301301,4212217.6291526
572766.909003191,4210881.07262012
579808.308924191,4211915.67027634
587499.330265856,4213077.27338669
595278.189284844,4211532.2654567
602518.06002036,4213874.9405116
609607.426949867,4215780.04427628
614667.46853586,4221768.98277547
619718.336757854,4225647.18644737
625937.437182397,4228453.0500496
628980.123559116,4233311.6782275
628913.063050957,4246809.9545445
629923.412641846,4255226.20266656
625974.270152279,4263431.21746619
624241.378337673,4210219.15450761
622951.267811087,4204184.13703147
593380.371873885,4216173.12007594
616542.953595241,4236741.73646332
630642.37660347,4215747.09116804
621173.286382667,4210401.75545136
625638.326417373,4194664.9243104
624444.285491823,4213383.80355894
626164.621529889,4209480.25773416
624967.419282096,4206011.15194978
626037.875802054,4201477.90042953
594545.191127485,4226323.66206116
598709.673664106,4210273.05730543
583641.625961325,4224316.59255078
590794.080844972,4225799.11554643
597050.925698859,4220417.37857797
600761.201840793,4210934.5662902
629368.254352694,4206579.23764996
628817.891173235,4200672.64875301
607025.09874673,4210693.43706315
631601.000409178,4212842.90701609
631175.623004093,4206254.59913604
610725.559893884,4215992.36656024
624654.344897199,4207262.25541828
635689.632207228,4225966.15466312
623057.61535856,4222005.76734442
624992.5729315,4226975.24552504
628683.164354586,4232047.60657689
592040.227238602,4221986.27176256
621277.594488217,4211455.73269742
615916.89468896,4213164.50644649
622725.351425263,4213586.75664541
612825.609305686,4209176.6615279
620229.855822709,4207684.25671229
635864.596795397,4212670.3661579
590783.066829499,4226632.69265859
611294.770674059,4208879.02176733
617517.537822273,4228204.83414105
613271.335651734,4236627.89478781
616829.611251928,4236625.21390011
618180.27968033,4244075.58003651
623328.984156965,4262370.63366986
