"x","y"
628593.301788679,4196529.76574513
624455.510609622,4201009.10121837
628593.301788679,4201009.10121837
624455.510609622,4205488.4366916
628593.301788679,4205488.4366916
632731.092967736,4205488.4366916
574802.016460936,4209967.77216483
603766.554714336,4209967.77216483
607904.345893393,4209967.77216483
612042.13707245,4209967.77216483
616179.928251508,4209967.77216483
620317.719430565,4209967.77216483
624455.510609622,4209967.77216483
628593.301788679,4209967.77216483
632731.092967736,4209967.77216483
583077.598819051,4214447.10763806
587215.389998108,4214447.10763806
591353.181177165,4214447.10763806
595490.972356222,4214447.10763806
607904.345893393,4214447.10763806
612042.13707245,4214447.10763806
616179.928251508,4214447.10763806
620317.719430565,4214447.10763806
624455.510609622,4214447.10763806
628593.301788679,4214447.10763806
632731.092967736,4214447.10763806
636868.884146793,4214447.10763806
583077.598819051,4218926.4431113
587215.389998108,4218926.4431113
591353.181177165,4218926.4431113
595490.972356222,4218926.4431113
616179.928251508,4218926.4431113
620317.719430565,4218926.4431113
624455.510609622,4218926.4431113
628593.301788679,4218926.4431113
583077.598819051,4223405.77858453
587215.389998108,4223405.77858453
591353.181177165,4223405.77858453
616179.928251508,4223405.77858453
620317.719430565,4223405.77858453
624455.510609622,4223405.77858453
628593.301788679,4223405.77858453
620317.719430565,4227885.11405776
624455.510609622,4227885.11405776
628593.301788679,4227885.11405776
620317.719430565,4232364.44953099
624455.510609622,4232364.44953099
628593.301788679,4232364.44953099
616179.928251508,4236843.78500423
620317.719430565,4236843.78500423
624455.510609622,4236843.78500423
620317.719430565,4241323.12047746
620317.719430565,4245802.45595069
624455.510609622,4245802.45595069
624455.510609622,4250281.79142393
628593.301788679,4250281.79142393
624455.510609622,4254761.12689716
624455.510609622,4259240.46237039
624455.510609622,4263719.79784362
628593.301788679,4268199.13331685
